gush_number,school_gan,education_type,ethnicity,religious or not
7938,1,M,J,2
7940,3,H,J,4
7941,1,H,J,4
7944,3,M,J,2
7958,3,M,J,2
7959,5,M,J,2
7960,5,M,J,2
7992,2,M,J,2
8000,1,M,J,2
8001,6,M,J,2
8002,6,M,J,2
8006,16,H,J,4
8015,6,M,J,2
8021,1,M,J,2
8024,11,M,J,2
8027,2,M,J,2
8030,1,A,A,1
8036,3,M,J,2
8039,25,M,J,2
8040,1,M,J,2
8042,1,M,J,2
8048,2,A,A,1
8049,1,A,A,1
8062,2,H,J,4
8118,4,M,J,2
8123,6,M,J,2
8124,11,M,J,2
8126,1,M,J,2
8147,2,M,J,2
8149,1,M,J,2
8150,2,M,J,2
8154,3,M,J,2
8191,1,M,J,2
8194,2,M,J,2
8195,5,M,J,2
8210,10,M,J,2
8211,3,M,J,2
8212,1,M,J,2
8215,2,mixed,J,3
8217,10,H,J,4
8219,2,M,J,2
8228,1,M,J,2
8229,1,M,J,2
8230,2,mixed,J,3
8232,2,mixed,J,3
8233,6,H,J,4
8237,1,M,J,2
8238,13,H,J,4
8241,4,H,J,4
8242,4,mixed,J,3
8254,1,M,J,2
8257,4,H,J,4
8259,9,M,J,2
8260,11,H,J,4
8261,7,H,J,4
8265,2,H,J,4
8266,1,M,J,2
8267,18,H,J,4
8268,1,M,J,2
8269,1,H,J,4
8271,7,M,J,2
8272,5,H,J,4
8273,4,mixed,J,3
8274,8,H,J,4
8277,2,M,J,2
8283,5,M,J,2
8284,4,H,J,4
8286,5,M,J,2
8288,6,M,J,2
8292,1,M,J,2
8297,4,M,J,2
8302,4,M,J,2
8315,2,M,J,2
8334,2,M,J,2
8345,1,M,J,2
8358,3,M,J,2
8362,3,M,J,2
8364,2,H,J,4
8383,2,M,J,2
8413,2,mixed,J,3
8414,2,M,J,2
8416,3,M,J,2
8417,0,mixed,J,3
8421,2,M,J,2
8446,2,M,J,2
8448,4,M,J,2
8462,3,M,J,2
8480,1,M,J,2
8502,3,M,J,2
8546,2,M,J,2
8550,3,M,J,2
8554,4,M,J,2
8561,1,H,J,4
8564,1,M,J,2
8568,2,mixed,J,3
8628,3,M,J,2
8629,2,M,J,2
8631,5,M,J,2
8635,3,M,J,2
